bare	accented	translations_en	translations_de	comparative	superlative	short_m	short_f	short_n	short_pl	decl_m_nom	decl_m_gen	decl_m_dat	decl_m_acc	decl_m_inst	decl_m_prep	decl_f_nom	decl_f_gen	decl_f_dat	decl_f_acc	decl_f_inst	decl_f_prep	decl_n_nom	decl_n_gen	decl_n_dat	decl_n_acc	decl_n_inst	decl_n_prep	decl_pl_nom	decl_pl_gen	decl_pl_dat	decl_pl_acc	decl_pl_inst	decl_pl_prep
вздёрнутый	вздёрнутый	upturned	hochgezogen, nach oben gezogen			вздёрнут	вздёрнута	вздёрнуто	вздёрнуты	вздёрнутый	вздёрнутого	вздёрнутому	вздёрнутый,вздёрнутого	вздёрнутым	вздёрнутом	вздёрнутая	вздёрнутой	вздёрнутой	вздёрнутую	вздёрнутой, вздёрнутою	вздёрнутой	вздёрнутое	вздёрнутого	вздёрнутому	вздёрнутое	вздёрнутым	вздёрнутом	вздёрнутые	вздёрнутых	вздёрнутым	вздёрнутые,вздёрнутых	вздёрнутыми	вздёрнутых
сопливый	сопли'вый	snotty	rotzig, mit laufender Nase			сопли'в	сопли'ва	сопли'во	сопли'вы	сопли'вый	сопли'вого	сопли'вому	сопли'вый,сопли'вого	сопли'вым	сопли'вом	сопли'вая	сопли'вой	сопли'вой	сопли'вую	сопли'вой, сопли'вою	сопли'вой	сопли'вое	сопли'вого	сопли'вому	сопли'вое	сопли'вым	сопли'вом	сопли'вые	сопли'вых	сопли'вым	сопли'вые,сопли'вых	сопли'выми	сопли'вых
блёклый	блёклый	faded	fahl, matt, verschossen, welk			блёкл	блёкла	блёкло	блёклы	блёклый	блёклого	блёклому	блёклый,блёклого	блёклым	блёклом	блёклая	блёклой	блёклой	блёклую	блёклой, блёклою	блёклой	блёклое	блёклого	блёклому	блёклое	блёклым	блёклом	блёклые	блёклых	блёклым	блёклые,блёклых	блёклыми	блёклых
тронный	тро'нный	throne	Thron-			тро'нен	тро'нна	тро'нно	тро'нны	тро'нный	тро'нного	тро'нному	тро'нный,тро'нного	тро'нным	тро'нном	тро'нная	тро'нной	тро'нной	тро'нную	тро'нной, тро'нною	тро'нной	тро'нное	тро'нного	тро'нному	тро'нное	тро'нным	тро'нном	тро'нные	тро'нных	тро'нным	тро'нные,тро'нных	тро'нными	тро'нных
негодный	него'дный	unfit, worthless, good-for-nothing	untauglich, unbrauchbar, ungenießbar			него'ден	негодна'	него'дно	него'дны//негодны'	него'дный	него'дного	него'дному	него'дный,него'дного	него'дным	него'дном	него'дная	него'дной	него'дной	него'дную	него'дной, него'дною	него'дной	него'дное	него'дного	него'дному	него'дное	него'дным	него'дном	него'дные	него'дных	него'дным	него'дные,него'дных	него'дными	него'дных
систематический	системати'ческий	systematic, methodical	systematisch, ständig, regelmäßig			*системати'ческ	*системати'ческа	*системати'ческо	системати'чески	системати'ческий	системати'ческого	системати'ческому	системати'ческий,системати'ческого	системати'ческим	системати'ческом	системати'ческая	системати'ческой	системати'ческой	системати'ческую	системати'ческой, системати'ческою	системати'ческой	системати'ческое	системати'ческого	системати'ческому	системати'ческое	системати'ческим	системати'ческом	системати'ческие	системати'ческих	системати'ческим	системати'ческие,системати'ческих	системати'ческими	системати'ческих
режущий	ре'жущий	cutting, sharp	operierend, aufschneidend; ungeschminkt reden; einritzend; schneidend, zerteilend, Gewinde schneidend			ре'жущ	ре'жуща	ре'жуще	ре'жущи	ре'жущий	ре'жущего	ре'жущему	ре'жущий,ре'жущего	ре'жущим	ре'жущем	ре'жущая	ре'жущей	ре'жущей	ре'жущую	ре'жущей, ре'жущею	ре'жущей	ре'жущее	ре'жущего	ре'жущему	ре'жущее	ре'жущим	ре'жущем	ре'жущие	ре'жущих	ре'жущим	ре'жущие,ре'жущих	ре'жущими	ре'жущих
риторический	ритори'ческий	rhetorical	rhetorisch			*ритори'ческ	*ритори'ческа	*ритори'ческо	ритори'чески	ритори'ческий	ритори'ческого	ритори'ческому	ритори'ческий,ритори'ческого	ритори'ческим	ритори'ческом	ритори'ческая	ритори'ческой	ритори'ческой	ритори'ческую	ритори'ческой, ритори'ческою	ритори'ческой	ритори'ческое	ритори'ческого	ритори'ческому	ритори'ческое	ритори'ческим	ритори'ческом	ритори'ческие	ритори'ческих	ритори'ческим	ритори'ческие,ритори'ческих	ритори'ческими	ритори'ческих
электромагнитный	электромагни'тный	electromagnetic	elektromagnetisch			эле`ктромагни'тен	эле`ктромагни'тна	эле`ктромагни'тно	эле`ктромагни'тны	электромагни'тный	электромагни'тного	электромагни'тному	электромагни'тный,электромагни'тного	электромагни'тным	электромагни'тном	электромагни'тная	электромагни'тной	электромагни'тной	электромагни'тную	электромагни'тной, электромагни'тною	электромагни'тной	электромагни'тное	электромагни'тного	электромагни'тному	электромагни'тное	электромагни'тным	электромагни'тном	электромагни'тные	электромагни'тных	электромагни'тным	электромагни'тные,электромагни'тных	электромагни'тными	электромагни'тных
доскональный	доскона'льный	thorough	gründlich, peinlich genau, korrekt, pünktlich			доскона'лен	доскона'льна	доскона'льно	доскона'льны	доскона'льный	доскона'льного	доскона'льному	доскона'льный,доскона'льного	доскона'льным	доскона'льном	доскона'льная	доскона'льной	доскона'льной	доскона'льную	доскона'льной, доскона'льною	доскона'льной	доскона'льное	доскона'льного	доскона'льному	доскона'льное	доскона'льным	доскона'льном	доскона'льные	доскона'льных	доскона'льным	доскона'льные,доскона'льных	доскона'льными	доскона'льных
поношенный	поно'шенный	shabby, threadbare, frayed, haggard, worn	abgetragen, schäbig			поно'шен	поно'шенна	поно'шенно	поно'шенны	поно'шенный	поно'шенного	поно'шенному	поно'шенный,поно'шенного	поно'шенным	поно'шенном	поно'шенная	поно'шенной	поно'шенной	поно'шенную	поно'шенной, поно'шенною	поно'шенной	поно'шенное	поно'шенного	поно'шенному	поно'шенное	поно'шенным	поно'шенном	поно'шенные	поно'шенных	поно'шенным	поно'шенные,поно'шенных	поно'шенными	поно'шенных
карельский	каре'льский	Karelian	Karelien-, karelisch							каре'льский	каре'льского	каре'льскому	каре'льский,каре'льского	каре'льским	каре'льском	каре'льская	каре'льской	каре'льской	каре'льскую	каре'льской,(каре'льскою)	каре'льской	каре'льское	каре'льского	каре'льскому	каре'льское	каре'льским	каре'льском	каре'льские	каре'льских	каре'льским	каре'льские,каре'льских	каре'льскими	каре'льских
холщовый	холщо'вый	Adjective of холст	Leinwand-, Leinen-, Lein-			холщо'в	холщо'ва	холщо'во	холщо'вы	холщо'вый	холщо'вого	холщо'вому	холщо'вый,холщо'вого	холщо'вым	холщо'вом	холщо'вая	холщо'вой	холщо'вой	холщо'вую	холщо'вой, холщо'вою	холщо'вой	холщо'вое	холщо'вого	холщо'вому	холщо'вое	холщо'вым	холщо'вом	холщо'вые	холщо'вых	холщо'вым	холщо'вые,холщо'вых	холщо'выми	холщо'вых
безликий	безли'кий	faceless, featureless	gesichtslos, eingenschaftslos, ohne Gesicht, konturlos			безли'к	безли'ка	безли'ко	безли'ки	безли'кий	безли'кого	безли'кому	безли'кий,безли'кого	безли'ким	безли'ком	безли'кая	безли'кой	безли'кой	безли'кую	безли'кой, безли'кою	безли'кой	безли'кое	безли'кого	безли'кому	безли'кое	безли'ким	безли'ком	безли'кие	безли'ких	безли'ким	безли'кие,безли'ких	безли'кими	безли'ких
эмалированный	эмалиро'ванный	enamelled	emailliert			эмалиро'ван	эмалиро'ванна	эмалиро'ванно	эмалиро'ванны	эмалиро'ванный	эмалиро'ванного	эмалиро'ванному	эмалиро'ванный,эмалиро'ванного	эмалиро'ванным	эмалиро'ванном	эмалиро'ванная	эмалиро'ванной	эмалиро'ванной	эмалиро'ванную	эмалиро'ванной, эмалиро'ванною	эмалиро'ванной	эмалиро'ванное	эмалиро'ванного	эмалиро'ванному	эмалиро'ванное	эмалиро'ванным	эмалиро'ванном	эмалиро'ванные	эмалиро'ванных	эмалиро'ванным	эмалиро'ванные,эмалиро'ванных	эмалиро'ванными	эмалиро'ванных
досадный	доса'дный	annoying, vexatious, disappointing	ärgerlich, bedauerlich			доса'ден	доса'дна	доса'дно	доса'дны	доса'дный	доса'дного	доса'дному	доса'дный,доса'дного	доса'дным	доса'дном	доса'дная	доса'дной	доса'дной	доса'дную	доса'дной,(доса'дною)	доса'дной	доса'дное	доса'дного	доса'дному	доса'дное	доса'дным	доса'дном	доса'дные	доса'дных	доса'дным	доса'дные,доса'дных	доса'дными	доса'дных
злокачественный	злока'чественный	malignant	bösartig			злока'чественен, злока'чествен	злока'чественна	злока'чественно	злока'чественны	злока'чественный	злока'чественного	злока'чественному	злока'чественный,злока'чественного	злока'чественным	злока'чественном	злока'чественная	злока'чественной	злока'чественной	злока'чественную	злока'чественной, злока'чественною	злока'чественной	злока'чественное	злока'чественного	злока'чественному	злока'чественное	злока'чественным	злока'чественном	злока'чественные	злока'чественных	злока'чественным	злока'чественные,злока'чественных	злока'чественными	злока'чественных
профилактический	профилакти'ческий	preventive, prophylactic	Vorbeugungs-, vorbeugend, prophylaktisch																														
вульгарный	вульга'рный	vulgar	vulgär, ordinär, geschmacklos; vereinfacht, verflacht, entstellt			вульга'рен	вульга'рна	вульга'рно	вульга'рны	вульга'рный	вульга'рного	вульга'рному	вульга'рный,вульга'рного	вульга'рным	вульга'рном	вульга'рная	вульга'рной	вульга'рной	вульга'рную	вульга'рной,(вульга'рною)	вульга'рной	вульга'рное	вульга'рного	вульга'рному	вульга'рное	вульга'рным	вульга'рном	вульга'рные	вульга'рных	вульга'рным	вульга'рные,вульга'рных	вульга'рными	вульга'рных
аппаратный	аппара'тный		Hardware-, Behörden-, gerätegestützt			аппара'тен	аппара'тна	аппара'тно	аппара'тны	аппара'тный	аппара'тного	аппара'тному	аппара'тный,аппара'тного	аппара'тным	аппара'тном	аппара'тная	аппара'тной	аппара'тной	аппара'тную	аппара'тной, аппара'тною	аппара'тной	аппара'тное	аппара'тного	аппара'тному	аппара'тное	аппара'тным	аппара'тном	аппара'тные	аппара'тных	аппара'тным	аппара'тные,аппара'тных	аппара'тными	аппара'тных
предательский	преда'тельский	treacherous, traitorous, perfidious	verräterisch			*преда'тельск	*преда'тельска	*преда'тельско	преда'тельски	преда'тельский	преда'тельского	преда'тельскому	преда'тельский,преда'тельского	преда'тельским	преда'тельском	преда'тельская	преда'тельской	преда'тельской	преда'тельскую	преда'тельской, преда'тельскою	преда'тельской	преда'тельское	преда'тельского	преда'тельскому	преда'тельское	преда'тельским	преда'тельском	преда'тельские	преда'тельских	преда'тельским	преда'тельские,преда'тельских	преда'тельскими	преда'тельских
полотняный	полотня'ный	linen	leinen, Lein-			полотня'н	полотня'на	полотня'но	полотня'ны	полотня'ный	полотня'ного	полотня'ному	полотня'ный,полотня'ного	полотня'ным	полотня'ном	полотня'ная	полотня'ной	полотня'ной	полотня'ную	полотня'ной, полотня'ною	полотня'ной	полотня'ное	полотня'ного	полотня'ному	полотня'ное	полотня'ным	полотня'ном	полотня'ные	полотня'ных	полотня'ным	полотня'ные,полотня'ных	полотня'ными	полотня'ных
полуденный	полу'денный	midday, southern	Mittags-, mittäglich			*полу'денен	полу'денна	полу'денно	полу'денны	полу'денный	полу'денного	полу'денному	полу'денный,полу'денного	полу'денным	полу'денном	полу'денная	полу'денной	полу'денной	полу'денную	полу'денной, полу'денною	полу'денной	полу'денное	полу'денного	полу'денному	полу'денное	полу'денным	полу'денном	полу'денные	полу'денных	полу'денным	полу'денные,полу'денных	полу'денными	полу'денных
гранёный	гранёный	cut, faceted	geschliffen, facettiert			гранён	гранёна	гранёно	гранёны	гранёный	гранёного	гранёному	гранёный,гранёного	гранёным	гранёном	гранёная	гранёной	гранёной	гранёную	гранёной, гранёною	гранёной	гранёное	гранёного	гранёному	гранёное	гранёным	гранёном	гранёные	гранёных	гранёным	гранёные,гранёных	гранёными	гранёных
комнатный	ко'мнатный	indoor	Zimmer-							ко'мнатный	ко'мнатного	ко'мнатному	ко'мнатный,ко'мнатного	ко'мнатным	ко'мнатном	ко'мнатная	ко'мнатной	ко'мнатной	ко'мнатную	ко'мнатной,(ко'мнатною)	ко'мнатной	ко'мнатное	ко'мнатного	ко'мнатному	ко'мнатное	ко'мнатным	ко'мнатном	ко'мнатные	ко'мнатных	ко'мнатным	ко'мнатные,ко'мнатных	ко'мнатными	ко'мнатных
приметный	приме'тный	perceptible, visible, conspicuous, prominent	wahrnehmbar, merklich, deutlich, Merk-, erkennbar			приме'тен	приме'тна	приме'тно	приме'тны	приме'тный	приме'тного	приме'тному	приме'тный,приме'тного	приме'тным	приме'тном	приме'тная	приме'тной	приме'тной	приме'тную	приме'тной, приме'тною	приме'тной	приме'тное	приме'тного	приме'тному	приме'тное	приме'тным	приме'тном	приме'тные	приме'тных	приме'тным	приме'тные,приме'тных	приме'тными	приме'тных
мемориальный	мемориа'льный	memorial	Gedenk-			мемориа'лен	мемориа'льна	мемориа'льно	мемориа'льны	мемориа'льный	мемориа'льного	мемориа'льному	мемориа'льный,мемориа'льного	мемориа'льным	мемориа'льном	мемориа'льная	мемориа'льной	мемориа'льной	мемориа'льную	мемориа'льной, мемориа'льною	мемориа'льной	мемориа'льное	мемориа'льного	мемориа'льному	мемориа'льное	мемориа'льным	мемориа'льном	мемориа'льные	мемориа'льных	мемориа'льным	мемориа'льные,мемориа'льных	мемориа'льными	мемориа'льных
нездешний	незде'шний	not of these parts, stranger, unearthly, supernatural, mysterious	fremdartig, nicht von hier, fremd; überirdisch, extraterristisch			*незде'шен	незде'шня	незде'шне	незде'шни	незде'шний	незде'шнего	незде'шнему	незде'шний,незде'шнего	незде'шним	незде'шнем	незде'шняя	незде'шней	незде'шней	незде'шнюю	незде'шней, незде'шнею	незде'шней	незде'шнее	незде'шнего	незде'шнему	незде'шнее	незде'шним	незде'шнем	незде'шние	незде'шних	незде'шним	незде'шние,незде'шних	незде'шними	незде'шних
глинистый	гли'нистый	clayey, argillaceous	Lehm-, lehmig, tonhaltig							гли'нистый	гли'нистого	гли'нистому	гли'нистый,гли'нистого	гли'нистым	гли'нистом	гли'нистая	гли'нистой	гли'нистой	гли'нистую	гли'нистой,(гли'нистою)	гли'нистой	гли'нистое	гли'нистого	гли'нистому	гли'нистое	гли'нистым	гли'нистом	гли'нистые	гли'нистых	гли'нистым	гли'нистые,гли'нистых	гли'нистыми	гли'нистых
базовый	ба'зовый	basic	grundlegend			ба'зов	ба'зова	ба'зово	ба'зовы	ба'зовый	ба'зового	ба'зовому	ба'зовый,ба'зового	ба'зовым	ба'зовом	ба'зовая	ба'зовой	ба'зовой	ба'зовую	ба'зовой, ба'зовою	ба'зовой	ба'зовое	ба'зового	ба'зовому	ба'зовое	ба'зовым	ба'зовом	ба'зовые	ба'зовых	ба'зовым	ба'зовые,ба'зовых	ба'зовыми	ба'зовых
вещественный	веще'ственный	material, substantial	Stoff-, Sach-, stofflich, materiell, körperlich			веще'ственен	веще'ственна	веще'ственно	веще'ственны	веще'ственный	веще'ственного	веще'ственному	веще'ственный,веще'ственного	веще'ственным	веще'ственном	веще'ственная	веще'ственной	веще'ственной	веще'ственную	веще'ственной,(веще'ственною)	веще'ственной	веще'ственное	веще'ственного	веще'ственному	веще'ственное	веще'ственным	веще'ственном	веще'ственные	веще'ственных	веще'ственным	веще'ственные,веще'ственных	веще'ственными	веще'ственных
грубоватый	грубова'тый	coarse, rude	rauh, schroff; grob, barsch			грубова'т	грубова'та	грубова'то	грубова'ты	грубова'тый	грубова'того	грубова'тому	грубова'тый,грубова'того	грубова'тым	грубова'том	грубова'тая	грубова'той	грубова'той	грубова'тую	грубова'той, грубова'тою	грубова'той	грубова'тое	грубова'того	грубова'тому	грубова'тое	грубова'тым	грубова'том	грубова'тые	грубова'тых	грубова'тым	грубова'тые,грубова'тых	грубова'тыми	грубова'тых
повелительный	повели'тельный	imperative, authoritative	gebieterisch, befehlend							повели'тельный	повели'тельного	повели'тельному	повели'тельный,повели'тельного	повели'тельным	повели'тельном	повели'тельная	повели'тельной	повели'тельной	повели'тельную	повели'тельной,(повели'тельною)	повели'тельной	повели'тельное	повели'тельного	повели'тельному	повели'тельное	повели'тельным	повели'тельном	повели'тельные	повели'тельных	повели'тельным	повели'тельные,повели'тельных	повели'тельными	повели'тельных
трепетный	тре'петный	trembling, flickering, anxious, timid	zitternd, scheu, ängstlich, bebend, leidenschaftlich, flackernd			тре'петен	тре'петна	тре'петно	тре'петны	тре'петный	тре'петного	тре'петному	тре'петный,тре'петного	тре'петным	тре'петном	тре'петная	тре'петной	тре'петной	тре'петную	тре'петной, тре'петною	тре'петной	тре'петное	тре'петного	тре'петному	тре'петное	тре'петным	тре'петном	тре'петные	тре'петных	тре'петным	тре'петные,тре'петных	тре'петными	тре'петных
янтарный	янта'рный	amber, amber-coloured	Bernstein-, bernsteingelb			янта'рен	янта'рна	янта'рно	янта'рны	янта'рный	янта'рного	янта'рному	янта'рный,янта'рного	янта'рным	янта'рном	янта'рная	янта'рной	янта'рной	янта'рную	янта'рной,(янта'рною)	янта'рной	янта'рное	янта'рного	янта'рному	янта'рное	янта'рным	янта'рном	янта'рные	янта'рных	янта'рным	янта'рные,янта'рных	янта'рными	янта'рных
альтернативный	альтернати'вный	alternative	alternativ, Szene-							альтернати'вный	альтернати'вного	альтернати'вному	альтернати'вный,альтернати'вного	альтернати'вным	альтернати'вном	альтернати'вная	альтернати'вной	альтернати'вной	альтернати'вную	альтернати'вной,(альтернати'вною)	альтернати'вной	альтернати'вное	альтернати'вного	альтернати'вному	альтернати'вное	альтернати'вным	альтернати'вном	альтернати'вные	альтернати'вных	альтернати'вным	альтернати'вные,альтернати'вных	альтернати'вными	альтернати'вных
девственный	де'вственный	virgin	jungfräulich, keusch; unberührt			де'вственен, де'вствен	де'вственна	де'вственно	де'вственны	де'вственный	де'вственного	де'вственному	де'вственный,де'вственного	де'вственным	де'вственном	де'вственная	де'вственной	де'вственной	де'вственную	де'вственной, де'вственною	де'вственной	де'вственное	де'вственного	де'вственному	де'вственное	де'вственным	де'вственном	де'вственные	де'вственных	де'вственным	де'вственные,де'вственных	де'вственными	де'вственных
живучий	живу'чий	of great vitality, tenacious, firm, stable	zäh; langlebig			живу'ч	живу'ча	живу'че	живу'чи	живу'чий	живу'чего	живу'чему	живу'чий,живу'чего	живу'чим	живу'чем	живу'чая	живу'чей	живу'чей	живу'чую	живу'чей, живу'чею	живу'чей	живу'чее	живу'чего	живу'чему	живу'чее	живу'чим	живу'чем	живу'чие	живу'чих	живу'чим	живу'чие,живу'чих	живу'чими	живу'чих
подвальный	подва'льный	Adjective of подвал	Keller-																														
необозримый	необозри'мый	boundless, immense, vast	unübersehbar			необозри'м	необозри'ма	необозри'мо	необозри'мы	необозри'мый	необозри'мого	необозри'мому	необозри'мый,необозри'мого	необозри'мым	необозри'мом	необозри'мая	необозри'мой	необозри'мой	необозри'мую	необозри'мой, необозри'мою	необозри'мой	необозри'мое	необозри'мого	необозри'мому	необозри'мое	необозри'мым	необозри'мом	необозри'мые	необозри'мых	необозри'мым	необозри'мые,необозри'мых	необозри'мыми	необозри'мых
безрассудный	безрассу'дный	rash, reckless, imprudent, foolhardy	unvernünftig, unbesonnen			безрассу'ден	безрассу'дна	безрассу'дно	безрассу'дны	безрассу'дный	безрассу'дного	безрассу'дному	безрассу'дный,безрассу'дного	безрассу'дным	безрассу'дном	безрассу'дная	безрассу'дной	безрассу'дной	безрассу'дную	безрассу'дной, безрассу'дною	безрассу'дной	безрассу'дное	безрассу'дного	безрассу'дному	безрассу'дное	безрассу'дным	безрассу'дном	безрассу'дные	безрассу'дных	безрассу'дным	безрассу'дные,безрассу'дных	безрассу'дными	безрассу'дных
изначальный	изнача'льный	primordial	ursprünglich			изнача'лен	изнача'льна	изнача'льно	изнача'льны	изнача'льный	изнача'льного	изнача'льному	изнача'льный,изнача'льного	изнача'льным	изнача'льном	изнача'льная	изнача'льной	изнача'льной	изнача'льную	изнача'льной,(изнача'льною)	изнача'льной	изнача'льное	изнача'льного	изнача'льному	изнача'льное	изнача'льным	изнача'льном	изнача'льные	изнача'льных	изнача'льным	изнача'льные,изнача'льных	изнача'льными	изнача'льных
типографский	типогра'фский	typographical	typographisch																														
растянутый	растя'нутый	stretched, long-winded, prolix	ausgedehnt, langgezogen, weitschweifig	растя'нутее		растя'нут	растя'нута	растя'нуто	растя'нуты	растя'нутый	растя'нутого	растя'нутому	растя'нутый,растя'нутого	растя'нутым	растя'нутом	растя'нутая	растя'нутой	растя'нутой	растя'нутую	растя'нутой, растя'нутою	растя'нутой	растя'нутое	растя'нутого	растя'нутому	растя'нутое	растя'нутым	растя'нутом	растя'нутые	растя'нутых	растя'нутым	растя'нутые,растя'нутых	растя'нутыми	растя'нутых
климатический	климати'ческий	climatic	klimatisch, Klima-			*климати'ческ	*климати'ческа	*климати'ческо	климати'чески	климати'ческий	климати'ческого	климати'ческому	климати'ческий,климати'ческого	климати'ческим	климати'ческом	климати'ческая	климати'ческой	климати'ческой	климати'ческую	климати'ческой, климати'ческою	климати'ческой	климати'ческое	климати'ческого	климати'ческому	климати'ческое	климати'ческим	климати'ческом	климати'ческие	климати'ческих	климати'ческим	климати'ческие,климати'ческих	климати'ческими	климати'ческих
самолюбивый	самолюби'вый	proud, touchy	ehrgeizig, empfindlich			самолюби'в	самолюби'ва	самолюби'во	самолюби'вы	самолюби'вый	самолюби'вого	самолюби'вому	самолюби'вый,самолюби'вого	самолюби'вым	самолюби'вом	самолюби'вая	самолюби'вой	самолюби'вой	самолюби'вую	самолюби'вой, самолюби'вою	самолюби'вой	самолюби'вое	самолюби'вого	самолюби'вому	самолюби'вое	самолюби'вым	самолюби'вом	самолюби'вые	самолюби'вых	самолюби'вым	самолюби'вые,самолюби'вых	самолюби'выми	самолюби'вых
компактный	компа'ктный	compact, solid	kompakt			компа'ктен	компа'ктна	компа'ктно	компа'ктны	компа'ктный	компа'ктного	компа'ктному	компа'ктный,компа'ктного	компа'ктным	компа'ктном	компа'ктная	компа'ктной	компа'ктной	компа'ктную	компа'ктной, компа'ктною	компа'ктной	компа'ктное	компа'ктного	компа'ктному	компа'ктное	компа'ктным	компа'ктном	компа'ктные	компа'ктных	компа'ктным	компа'ктные,компа'ктных	компа'ктными	компа'ктных
бычий	бы'чий	Adjective of бык	Stier-							бы'чий	бы'чьего	бы'чьему	бы'чий,бы'чьего	бы'чьим	бы'чьем	бы'чья	бы'чьей	бы'чьей	бы'чью	бы'чьей, бы'чьею	бы'чьей	бы'чье	бы'чьего	бы'чьему	бы'чье	бы'чьим	бы'чьем	бы'чьи	бы'чьих	бы'чьим	бы'чьи,бы'чьих	бы'чьими	бы'чьих
неряшливый	неря'шливый	negligent, careless, slipshod, slovenly, untidy	unordentlich, schlampig			неря'шлив	неря'шлива	неря'шливо	неря'шливы	неря'шливый	неря'шливого	неря'шливому	неря'шливый,неря'шливого	неря'шливым	неря'шливом	неря'шливая	неря'шливой	неря'шливой	неря'шливую	неря'шливой, неря'шливою	неря'шливой	неря'шливое	неря'шливого	неря'шливому	неря'шливое	неря'шливым	неря'шливом	неря'шливые	неря'шливых	неря'шливым	неря'шливые,неря'шливых	неря'шливыми	неря'шливых
гороховый	горо'ховый	Adjective of горох	Erbsen-			горо'хов	горо'хова	горо'хово	горо'ховы	горо'ховый	горо'хового	горо'ховому	горо'ховый,горо'хового	горо'ховым	горо'ховом	горо'ховая	горо'ховой	горо'ховой	горо'ховую	горо'ховой, горо'ховою	горо'ховой	горо'ховое	горо'хового	горо'ховому	горо'ховое	горо'ховым	горо'ховом	горо'ховые	горо'ховых	горо'ховым	горо'ховые,горо'ховых	горо'ховыми	горо'ховых
невротический	невроти'ческий	neurotic	neurotisch			*невроти'ческ	*невроти'ческа	*невроти'ческо	невроти'чески	невроти'ческий	невроти'ческого	невроти'ческому	невроти'ческий,невроти'ческого	невроти'ческим	невроти'ческом	невроти'ческая	невроти'ческой	невроти'ческой	невроти'ческую	невроти'ческой, невроти'ческою	невроти'ческой	невроти'ческое	невроти'ческого	невроти'ческому	невроти'ческое	невроти'ческим	невроти'ческом	невроти'ческие	невроти'ческих	невроти'ческим	невроти'ческие,невроти'ческих	невроти'ческими	невроти'ческих
вьющийся	вью'щийся		Schlingrankend, kraus, lockig			*вью'щся	*вью'щася	*вью'щеся	вью'щися	вью'щийся	вью'щегося	вью'щемуся	вью'щийся,вью'щегося	вью'щимся	вью'щемся	вью'щаяся	вью'щейся	вью'щейся	вью'щуюся	вью'щейся, вью'щеюся	вью'щейся	вью'щееся	вью'щегося	вью'щемуся	вью'щееся	вью'щимся	вью'щемся	вью'щиеся	вью'щихся	вью'щимся	вью'щиеся,вью'щихся	вью'щимися	вью'щихся
металлургический	металлурги'ческий	metallurgical	metallurgisch, Hütten-			*металлурги'ческ	*металлурги'ческа	*металлурги'ческо	металлурги'чески	металлурги'ческий	металлурги'ческого	металлурги'ческому	металлурги'ческий,металлурги'ческого	металлурги'ческим	металлурги'ческом	металлурги'ческая	металлурги'ческой	металлурги'ческой	металлурги'ческую	металлурги'ческой, металлурги'ческою	металлурги'ческой	металлурги'ческое	металлурги'ческого	металлурги'ческому	металлурги'ческое	металлурги'ческим	металлурги'ческом	металлурги'ческие	металлурги'ческих	металлурги'ческим	металлурги'ческие,металлурги'ческих	металлурги'ческими	металлурги'ческих
несравненный	несравне'нный	perfect, incomparable, matchless, unmatched, peerless	unvergleichlich			несравне'нен	несравне'нна	несравне'нно	несравне'нны	несравне'нный	несравне'нного	несравне'нному	несравне'нный,несравне'нного	несравне'нным	несравне'нном	несравне'нная	несравне'нной	несравне'нной	несравне'нную	несравне'нной, несравне'нною	несравне'нной	несравне'нное	несравне'нного	несравне'нному	несравне'нное	несравне'нным	несравне'нном	несравне'нные	несравне'нных	несравне'нным	несравне'нные,несравне'нных	несравне'нными	несравне'нных
удовлетворительный	удовлетвори'тельный	satisfactory	zufriedenstellend, befriedigend, genügend, ausreichend			удовлетвори'телен	удовлетвори'тельна	удовлетвори'тельно	удовлетвори'тельны	удовлетвори'тельный	удовлетвори'тельного	удовлетвори'тельному	удовлетвори'тельный,удовлетвори'тельного	удовлетвори'тельным	удовлетвори'тельном	удовлетвори'тельная	удовлетвори'тельной	удовлетвори'тельной	удовлетвори'тельную	удовлетвори'тельной,(удовлетвори'тельною)	удовлетвори'тельной	удовлетвори'тельное	удовлетвори'тельного	удовлетвори'тельному	удовлетвори'тельное	удовлетвори'тельным	удовлетвори'тельном	удовлетвори'тельные	удовлетвори'тельных	удовлетвори'тельным	удовлетвори'тельные,удовлетвори'тельных	удовлетвори'тельными	удовлетвори'тельных
немигающий	немигающий	unwinking	flimmerfrei																														
меткий	ме'ткий	well-aimed, accurate, neat, apt	sicher, scharf, treffsicher, treffend, schlagend			ме'ток	метка'	ме'тко	ме'тки	ме'ткий	ме'ткого	ме'ткому	ме'ткий,ме'ткого	ме'тким	ме'тком	ме'ткая	ме'ткой	ме'ткой	ме'ткую	ме'ткой, ме'ткою	ме'ткой	ме'ткое	ме'ткого	ме'ткому	ме'ткое	ме'тким	ме'тком	ме'ткие	ме'тких	ме'тким	ме'ткие,ме'тких	ме'ткими	ме'тких
кулинарный	кулина'рный	culinary	kulinarisch; Koch-			кулина'рен	кулина'рна	кулина'рно	кулина'рны	кулина'рный	кулина'рного	кулина'рному	кулина'рный,кулина'рного	кулина'рным	кулина'рном	кулина'рная	кулина'рной	кулина'рной	кулина'рную	кулина'рной, кулина'рною	кулина'рной	кулина'рное	кулина'рного	кулина'рному	кулина'рное	кулина'рным	кулина'рном	кулина'рные	кулина'рных	кулина'рным	кулина'рные,кулина'рных	кулина'рными	кулина'рных
