bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
скатываться	ска'тываться	get be rolled up, roll down, slide slip	hinabrollen, schlittern, hinunterrrutschen	imperfective	скатиться	ска'тывайся	ска'тывайтесь	ска'тывался	ска'тывалась	ска'тывалось	ска'тывались	ска'тываюсь	ска'тываешься	ска'тывается	ска'тываемся	ска'тываетесь	ска'тываются
набегать	набега'ть	run over, cover, come running, accumulate, ruck up	rennen, anrennen; zusammenströmen; sich ansammeln	imperfective	набежать	набега'й	набега'йте	набега'л	набега'ла	набега'ло	набега'ли	набега'ю	набега'ешь	набега'ет	набега'ем	набега'ете	набега'ют
выдаться	вы'даться	turned out to be, will turn out to be, has been, will be	hervorstehen, hervortreten; herausragen, hervorragen, überragen	perfective	выдаваться	вы'дайся	вы'дайтесь	вы'дался	вы'далась	вы'далось	вы'дались	вы'дамся	вы'дашься	вы'дастся	вы'дадимся	вы'дадитесь	вы'дадутся
истратить	истра'тить	spend, expend, waste	ausgeben	perfective	тратить	истра'ть	истра'тьте	истра'тил	истра'тила	истра'тило	истра'тили	истра'чу	истра'тишь	истра'тит	истра'тим	истра'тите	истра'тят
расслабить	рассла'бить		lockern, entspannen	perfective	расслаблять	рассла'бь	рассла'бьте	рассла'бил	рассла'била	рассла'било	рассла'били	рассла'блю	рассла'бишь	рассла'бит	рассла'бим	рассла'бите	рассла'бят
баловать	балова'ть	spoil, pet, indulge, humour, pamper, give a treat	verwöhnen; verhätscheln, verziehen	imperfective	избаловать	балу'й	балу'йте	балова'л	балова'ла	балова'ло	балова'ли	балу'ю	балу'ешь	балу'ет	балу'ем	балу'ете	балу'ют
запоздать	запозда'ть	be late, be behind schedule, lag	zu spät kommen, sich verspäten; verzögern	perfective	запаздывать	запозда'й	запозда'йте	запозда'л	запозда'ла	запозда'ло	запозда'ли	запозда'ю	запозда'ешь	запозда'ет	запозда'ем	запозда'ете	запозда'ют
перекрывать	перекрыва'ть	re-cover, exceed, trump, overtrump, stop up, block, cut off, overlap	abschneiden, abdrehen	imperfective	перекрыть	перекрыва'й	перекрыва'йте	перекрыва'л	перекрыва'ла	перекрыва'ло	перекрыва'ли	перекрыва'ю	перекрыва'ешь	перекрыва'ет	перекрыва'ем	перекрыва'ете	перекрыва'ют
тренировать	тренирова'ть	train, coach	trainieren (vt. ), (mit jemandem) üben	imperfective	натренировать	трениру'й	трениру'йте	тренирова'л	тренирова'ла	тренирова'ло	тренирова'ли	трениру'ю	трениру'ешь	трениру'ет	трениру'ем	трениру'ете	трениру'ют
разъяснять	разъясня'ть	explain, interpret	erklären, klarmachen, erläutern	imperfective	разъяснить	разъясня'й	разъясня'йте	разъясня'л	разъясня'ла	разъясня'ло	разъясня'ли	разъясня'ю	разъясня'ешь	разъясня'ет	разъясня'ем	разъясня'ете	разъясня'ют
чихать	чиха'ть	sneeze, scorn	niesen	imperfective	чихнуть	чиха'й	чиха'йте	чиха'л	чиха'ла	чиха'ло	чиха'ли	чиха'ю	чиха'ешь	чиха'ет	чиха'ем	чиха'ете	чиха'ют
замерзать	замерза'ть	freeze, be frozen, freeze to death, be killed by frost	gefrieren / zufrieren; erfrieren; durchfroren sein (stark frieren)	imperfective	замёрзнуть	замерза'й	замерза'йте	замерза'л	замерза'ла	замерза'ло	замерза'ли	замерза'ю	замерза'ешь	замерза'ет	замерза'ем	замерза'ете	замерза'ют
учинить	учини'ть	make, commit	begehen, machen, tun	perfective	чинить,учинять	учини'	учини'те	учини'л	учини'ла	учини'ло	учини'ли	учиню'	учини'шь	учини'т	учини'м	учини'те	учиня'т
остолбенеть	остолбене'ть	be dumbfounded	erstarren	perfective	столбенеть	остолбене'й	остолбене'йте	остолбене'л	остолбене'ла	остолбене'ло	остолбене'ли	остолбене'ю	остолбене'ешь	остолбене'ет	остолбене'ем	остолбене'ете	остолбене'ют
пролепетать	пролепета'ть		lallen, stammeln, stottern	perfective	лепетать	пролепечи'	пролепечи'те	пролепета'л	пролепета'ла	пролепета'ло	пролепета'ли	пролепечу'	пролепе'чешь	пролепе'чет	пролепе'чем	пролепе'чете	пролепе'чут
спереть	спере'ть	filch, pilfer, swipe, pinch, lift	klauen	perfective	переть	сопри'	сопри'те	спёр	спёрла	спёрло	спёрли	сопру'	сопрёшь	сопрёт	сопрём	сопрёте	сопру'т
упаковать	упакова'ть	pack	packen; verpacken	perfective	паковать,упаковывать	упаку'й	упаку'йте	упакова'л	упакова'ла	упакова'ло	упакова'ли	упаку'ю	упаку'ешь	упаку'ет	упаку'ем	упаку'ете	упаку'ют
обязывать	обя'зывать	bind, make it incumbent, oblige	verpflichten	imperfective	обязать	обя'зывай	обя'зывайте	обя'зывал	обя'зывала	обя'зывало	обя'зывали	обя'зываю	обя'зываешь	обя'зывает	обя'зываем	обя'зываете	обя'зывают
выпросить	вы'просить	get, get to give one, ask, solicit, try to get, beg	erbitten	perfective	выпрашивать	вы'проси	вы'просите	вы'просил	вы'просила	вы'просило	вы'просили	вы'прошу	вы'просишь	вы'просит	вы'просим	вы'просите	вы'просят
переодеваться	переодева'ться	change clothes; disguise oneself	sich umziehen, sich umkleiden; sich verkleiden	imperfective	переодеться	переодева'йся	переодева'йтесь	переодева'лся	переодева'лась	переодева'лось	переодева'лись	переодева'юсь	переодева'ешься	переодева'ется	переодева'емся	переодева'етесь	переодева'ются
помрачнеть	помрачне'ть	grow gloomy, darken	sich verfinstern, finster werden	perfective	мрачнеть	помрачне'й	помрачне'йте	помрачне'л	помрачне'ла	помрачне'ло	помрачне'ли	помрачне'ю	помрачне'ешь	помрачне'ет	помрачне'ем	помрачне'ете	помрачне'ют
поразмыслить	поразмы'слить	think over, give some thought	sich gut überlegen, lange nachdenken	perfective	-	поразмы'сли	поразмы'слите	поразмы'слил	поразмы'слила	поразмы'слило	поразмы'слили	поразмы'слю	поразмы'слишь	поразмы'слит	поразмы'слим	поразмы'слите	поразмы'слят
объявляться	объявля'ться	announcing, turn up, appear; this is	auftauchen, sich einfinden	imperfective	объявиться	объявля'йся	объявля'йтесь	объявля'лся	объявля'лась	объявля'лось	объявля'лись	объявля'юсь	объявля'ешься	объявля'ется	объявля'емся	объявля'етесь	объявля'ются
вступиться	вступи'ться	stand up	eintreten, sich einsetzen, in Schutz nehmen, Partei ergreifen	perfective	вступаться	вступи'сь	вступи'тесь	вступи'лся	вступи'лась	вступи'лось	вступи'лись	вступлю'сь	всту'пишься	всту'пится	всту'пимся	всту'питесь	всту'пятся
превысить	превы'сить	exceed	übertreffen, übersteigen, überschreiten, mißbrauchen	perfective	превышать	превы'сь	превы'сьте	превы'сил	превы'сила	превы'сило	превы'сили	превы'шу	превы'сишь	превы'сит	превы'сим	превы'сите	превы'сят
придержать	придержа'ть	hold	zurückhalten, festhalten	perfective	придерживать	придержи'	придержи'те	придержа'л	придержа'ла	придержа'ло	придержа'ли	придержу'	приде'ржишь	приде'ржит	приде'ржим	приде'ржите	приде'ржат
